t     x     v
5.55 -0.54 1.37
5.56 -0.53 1.38
5.56 -0.53 1.38
5.57 -0.52 1.38
5.57 -0.51 1.38
5.58 -0.51 1.38
5.58 -0.50 1.38
5.59 -0.49 1.38
5.59 -0.48 1.39
5.60 -0.48 1.39
5.60 -0.47 1.39
5.61 -0.46 1.39
5.61 -0.46 1.39
5.62 -0.45 1.39
5.62 -0.44 1.40
5.63 -0.44 1.40
5.63 -0.43 1.40
5.64 -0.42 1.40
5.64 -0.42 1.40
5.65 -0.41 1.40
5.65 -0.40 1.41
5.66 -0.39 1.41
5.66 -0.39 1.41
5.67 -0.38 1.41
5.67 -0.37 1.41
5.68 -0.37 1.41
5.68 -0.36 1.41
5.69 -0.35 1.42
5.69 -0.34 1.42
5.70 -0.34 1.42
5.70 -0.33 1.42
5.71 -0.32 1.42
5.71 -0.32 1.42
5.72 -0.31 1.43
5.72 -0.30 1.43
5.73 -0.29 1.43
5.73 -0.29 1.43
5.74 -0.28 1.43
5.74 -0.27 1.43
5.75 -0.27 1.43
5.75 -0.26 1.44
5.76 -0.25 1.44
5.76 -0.24 1.44
5.77 -0.24 1.44
5.77 -0.23 1.44
5.78 -0.22 1.44
5.78 -0.22 1.44
5.79 -0.21 1.45
5.79 -0.20 1.45
5.80 -0.19 1.45
5.80 -0.19 1.45
5.81 -0.18 1.45
5.81 -0.17 1.45
5.82 -0.17 1.45
5.82 -0.16 1.46
5.83 -0.15 1.46
5.83 -0.14 1.46
5.84 -0.14 1.46
5.84 -0.13 1.46
5.85 -0.12 1.46
5.85 -0.11 1.46
5.86 -0.11 1.47
5.86 -0.10 1.47
5.87 -0.09 1.47
5.87 -0.08 1.47
5.88 -0.08 1.47
5.88 -0.07 1.47
5.89 -0.06 1.47
5.89 -0.06 1.48
5.90 -0.05 1.48
5.90 -0.04 1.48
5.91 -0.03 1.48
5.91 -0.03 1.48
5.92 -0.02 1.48
5.92 -0.01 1.48
5.93 -0.00 1.49
5.93 0.00 1.49
5.94 0.01 1.49
5.94 0.02 1.49
5.95 0.03 1.49
5.95 0.03 1.49
5.96 0.04 1.49
5.96 0.05 1.49
5.97 0.06 1.50
5.97 0.06 1.50
5.98 0.07 1.50
5.98 0.08 1.50
5.99 0.09 1.50
5.99 0.09 1.50
6.00 0.10 1.50
6.00 0.11 1.51
6.01 0.12 1.51
6.01 0.12 1.51
6.02 0.13 1.51
6.02 0.14 1.51
6.03 0.15 1.51
6.03 0.15 1.51
6.04 0.16 1.51
6.04 0.17 1.52
6.05 0.18 1.52
6.05 0.18 1.52
6.06 0.19 1.52
6.06 0.20 1.52
6.07 0.21 1.52
6.07 0.22 1.52
6.08 0.22 1.52
6.08 0.23 1.53
6.09 0.24 1.53
6.09 0.25 1.53
6.10 0.25 1.53
6.10 0.26 1.53
6.11 0.27 1.53
6.11 0.28 1.53
6.12 0.28 1.53
6.12 0.29 1.54
6.13 0.30 1.54
6.13 0.31 1.54
6.14 0.31 1.54
6.14 0.32 1.54
6.15 0.33 1.54
6.15 0.34 1.54
6.16 0.35 1.54
6.16 0.35 1.55
6.17 0.36 1.55
6.17 0.37 1.55
6.18 0.38 1.55
6.18 0.38 1.55
6.19 0.39 1.55
6.19 0.40 1.55
6.20 0.41 1.55
6.20 0.42 1.56
6.21 0.42 1.56
6.21 0.43 1.56
6.22 0.44 1.56
6.22 0.45 1.56
6.23 0.45 1.56
6.23 0.46 1.56
6.24 0.47 1.56
6.24 0.48 1.56
6.25 0.49 1.57
6.25 0.49 1.56
6.26 0.50 1.56
6.26 0.51 1.55
6.27 0.52 1.55
6.27 0.52 1.55
6.28 0.53 1.54
6.28 0.54 1.54
6.29 0.55 1.54
6.29 0.56 1.54
6.30 0.56 1.54
6.30 0.57 1.54
6.31 0.58 1.54
6.31 0.59 1.53
6.32 0.59 1.53
6.32 0.60 1.53
6.33 0.61 1.53
6.33 0.62 1.53
6.34 0.62 1.53
6.34 0.63 1.53
6.35 0.64 1.53
6.35 0.65 1.52
6.36 0.65 1.52
6.36 0.66 1.52
6.37 0.67 1.52
6.37 0.68 1.52
6.38 0.69 1.52
6.38 0.69 1.52
6.39 0.70 1.52
6.39 0.71 1.51
6.40 0.72 1.51
6.40 0.72 1.51
6.41 0.73 1.51
6.41 0.74 1.51
6.42 0.75 1.51
6.42 0.75 1.51
6.43 0.76 1.51
6.43 0.77 1.50
6.44 0.78 1.50
6.44 0.78 1.50
6.45 0.79 1.50
6.45 0.80 1.50
6.46 0.81 1.50
6.46 0.81 1.50
6.47 0.82 1.49
6.47 0.83 1.49
6.48 0.84 1.49
6.48 0.84 1.49
6.49 0.85 1.49
6.49 0.86 1.49
6.50 0.87 1.49
6.50 0.87 1.49
6.51 0.88 1.48
6.51 0.89 1.48
6.52 0.89 1.48
6.52 0.90 1.48
6.53 0.91 1.48
6.53 0.92 1.48
6.54 0.92 1.48
6.54 0.93 1.47
6.55 0.94 1.47
6.55 0.95 1.47
6.56 0.95 1.47
6.56 0.96 1.47
6.57 0.97 1.47
6.57 0.98 1.47
6.58 0.98 1.46
6.58 0.99 1.46
6.59 1.00 1.46
6.59 1.01 -1.46
6.60 1.00 -1.46
6.60 0.99 -1.46
6.61 0.98 -1.46
6.61 0.98 -1.47
6.62 0.97 -1.47
6.62 0.96 -1.47
6.63 0.95 -1.47
6.63 0.95 -1.47
6.64 0.94 -1.47
6.64 0.93 -1.47
6.65 0.92 -1.48
6.65 0.92 -1.48
6.66 0.91 -1.48
6.66 0.90 -1.48
6.67 0.89 -1.48
6.67 0.89 -1.48
6.68 0.88 -1.48
6.68 0.87 -1.49
6.69 0.87 -1.49
6.69 0.86 -1.49
6.70 0.85 -1.49
6.70 0.84 -1.49
6.71 0.84 -1.49
6.71 0.83 -1.49
6.72 0.82 -1.49
6.72 0.81 -1.50
6.73 0.81 -1.50
6.73 0.80 -1.50
6.74 0.79 -1.50
6.74 0.78 -1.50
6.75 0.78 -1.50
6.75 0.77 -1.50
6.76 0.76 -1.51
6.76 0.75 -1.51
6.77 0.75 -1.51
6.77 0.74 -1.51
6.78 0.73 -1.51
6.78 0.72 -1.51
6.79 0.72 -1.51
6.79 0.71 -1.51
6.80 0.70 -1.52
6.80 0.69 -1.52
6.81 0.68 -1.52
6.81 0.68 -1.52
6.82 0.67 -1.52
6.82 0.66 -1.52
6.83 0.65 -1.52
6.83 0.65 -1.52
6.84 0.64 -1.53
6.84 0.63 -1.53
6.85 0.62 -1.53
6.85 0.62 -1.53
6.86 0.61 -1.53
6.86 0.60 -1.53
6.87 0.59 -1.53
6.87 0.59 -1.53
6.88 0.58 -1.54
6.88 0.57 -1.54
6.89 0.56 -1.54
6.89 0.55 -1.54
6.90 0.55 -1.54
6.90 0.54 -1.54
6.91 0.53 -1.54
6.91 0.52 -1.54
6.92 0.52 -1.55
6.92 0.51 -1.55
6.93 0.50 -1.55
6.93 0.49 -1.55
6.94 0.49 -1.55
6.94 0.48 -1.55
6.95 0.47 -1.55
6.95 0.46 -1.55
6.96 0.45 -1.56
6.96 0.45 -1.56
6.97 0.44 -1.56
6.97 0.43 -1.56
6.98 0.42 -1.56
6.98 0.42 -1.56
6.99 0.41 -1.56
6.99 0.40 -1.56
7.00 0.39 -1.56
7.00 0.38 -1.57
7.01 0.38 -1.57
7.01 0.37 -1.57
7.02 0.36 -1.57
7.02 0.35 -1.57
7.03 0.34 -1.57
7.03 0.34 -1.57
7.04 0.33 -1.57
7.04 0.32 -1.57
7.05 0.31 -1.58
7.05 0.31 -1.58
7.06 0.30 -1.58
7.06 0.29 -1.58
7.07 0.28 -1.58
7.07 0.27 -1.58
7.08 0.27 -1.58
7.08 0.26 -1.58
7.09 0.25 -1.59
7.09 0.24 -1.59
7.10 0.23 -1.59
7.10 0.23 -1.59
7.11 0.22 -1.59
7.11 0.21 -1.59
7.12 0.20 -1.59
7.12 0.19 -1.59
7.13 0.19 -1.59
7.13 0.18 -1.59
7.14 0.17 -1.60
7.14 0.16 -1.60
7.15 0.15 -1.60
7.15 0.15 -1.60
7.16 0.14 -1.60
7.16 0.13 -1.60
7.17 0.12 -1.60
7.17 0.11 -1.60
7.18 0.11 -1.60
7.18 0.10 -1.61
7.19 0.09 -1.61
7.19 0.08 -1.61
7.20 0.07 -1.61
7.20 0.07 -1.61
7.21 0.06 -1.61
7.21 0.05 -1.61
7.22 0.04 -1.61
7.22 0.03 -1.61
7.23 0.03 -1.62
7.23 0.02 -1.62
7.24 0.01 -1.62
7.24 0.00 -1.62
7.25 -0.01 -1.62
7.25 -0.01 -1.62
7.26 -0.02 -1.62
7.26 -0.03 -1.62
7.27 -0.04 -1.62
7.27 -0.05 -1.62
7.28 -0.06 -1.63
7.28 -0.06 -1.63
7.29 -0.07 -1.63
7.29 -0.08 -1.63
7.30 -0.09 -1.63
7.30 -0.10 -1.63
7.31 -0.10 -1.63
7.31 -0.11 -1.63
7.32 -0.12 -1.63
7.32 -0.13 -1.63
7.33 -0.14 -1.64
7.33 -0.14 -1.64
7.34 -0.15 -1.64
7.34 -0.16 -1.64
7.35 -0.17 -1.64
7.35 -0.18 -1.64
7.36 -0.19 -1.64
7.36 -0.19 -1.64
7.37 -0.20 -1.64
7.37 -0.21 -1.64
7.38 -0.22 -1.65
7.38 -0.23 -1.65
7.39 -0.24 -1.65
7.39 -0.24 -1.65
7.40 -0.25 -1.65
7.40 -0.26 -1.65
7.41 -0.27 -1.64
7.41 -0.28 -1.64
7.42 -0.28 -1.63
7.42 -0.29 -1.63
7.43 -0.30 -1.62
7.43 -0.31 -1.62
7.44 -0.32 -1.62
7.44 -0.33 -1.61
7.45 -0.33 -1.61
7.45 -0.34 -1.61
7.46 -0.35 -1.60
7.46 -0.36 -1.60
7.47 -0.37 -1.59
7.47 -0.37 -1.59
7.48 -0.38 -1.59
7.48 -0.39 -1.58
7.49 -0.40 -1.58
7.49 -0.40 -1.57
7.50 -0.41 -1.57
7.50 -0.42 -1.57
7.51 -0.43 -1.56
7.51 -0.44 -1.56
7.52 -0.44 -1.55
7.52 -0.45 -1.55
7.53 -0.46 -1.55
7.53 -0.47 -1.54
7.54 -0.47 -1.54
7.54 -0.48 -1.54
7.55 -0.49 -1.53
7.55 -0.50 -1.53
7.56 -0.51 -1.52
7.56 -0.51 -1.52
7.57 -0.52 -1.52
7.57 -0.53 -1.51
7.58 -0.54 -1.51
7.58 -0.54 -1.51
7.59 -0.55 -1.51
7.59 -0.56 -1.51
7.60 -0.57 -1.50
7.60 -0.57 -1.50
7.61 -0.58 -1.50
7.61 -0.59 -1.50
7.62 -0.60 -1.50
7.62 -0.60 -1.50
7.63 -0.61 -1.50
7.63 -0.62 -1.50
7.64 -0.63 -1.49
7.64 -0.63 -1.49
7.65 -0.64 -1.49
7.65 -0.65 -1.49
7.66 -0.66 -1.49
7.66 -0.66 -1.49
7.67 -0.67 -1.49
7.67 -0.68 -1.48
7.68 -0.69 -1.48
7.68 -0.69 -1.48
7.69 -0.70 -1.48
7.69 -0.71 -1.48
7.70 -0.71 -1.48
7.70 -0.72 -1.48
7.71 -0.73 -1.47
7.71 -0.74 -1.47
7.72 -0.74 -1.47
7.72 -0.75 -1.47
7.73 -0.76 -1.47
7.73 -0.77 -1.47
7.74 -0.77 -1.47
7.74 -0.78 -1.47
7.75 -0.79 -1.46
7.75 -0.80 -1.46
7.76 -0.80 -1.46
7.76 -0.81 -1.46
7.77 -0.82 -1.46
7.77 -0.82 -1.46
7.78 -0.83 -1.46
7.78 -0.84 -1.45
7.79 -0.85 -1.45
7.79 -0.85 -1.45
7.80 -0.86 -1.45
7.80 -0.87 -1.45
7.81 -0.88 -1.45
7.81 -0.88 -1.45
7.82 -0.89 -1.44
7.82 -0.90 -1.44
7.83 -0.90 -1.44
7.83 -0.91 -1.44
7.84 -0.92 -1.44
7.84 -0.93 -1.44
7.85 -0.93 -1.43
7.85 -0.94 -1.43
7.86 -0.95 -1.43
7.86 -0.95 -1.43
7.87 -0.96 -1.43
7.87 -0.97 -1.43
7.88 -0.98 -1.43
7.88 -0.98 -1.42
7.89 -0.99 -1.42
7.89 -1.00 -1.42
7.90 -1.00 1.42
7.90 -1.00 1.42
7.91 -0.99 1.42
7.91 -0.98 1.42
7.92 -0.98 1.43
7.92 -0.97 1.43
7.93 -0.96 1.43
7.93 -0.95 1.43
7.94 -0.95 1.43
7.94 -0.94 1.43
7.95 -0.93 1.43
7.95 -0.93 1.44
7.96 -0.92 1.44
7.96 -0.91 1.44
7.97 -0.90 1.44
7.97 -0.90 1.44
7.98 -0.89 1.44
7.98 -0.88 1.45
7.99 -0.88 1.45
7.99 -0.87 1.45
8.00 -0.86 1.45
8.00 -0.85 1.45
8.01 -0.85 1.45
8.01 -0.84 1.45
8.02 -0.83 1.46
8.02 -0.82 1.46
8.03 -0.82 1.46
8.03 -0.81 1.46
8.04 -0.80 1.46
8.04 -0.80 1.46
8.05 -0.79 1.46
8.05 -0.78 1.47
8.06 -0.77 1.47
8.06 -0.77 1.47
8.07 -0.76 1.47
8.07 -0.75 1.47
8.08 -0.74 1.47
8.08 -0.74 1.47
8.09 -0.73 1.47
8.09 -0.72 1.48
8.10 -0.71 1.48
8.10 -0.71 1.48
8.11 -0.70 1.48
8.11 -0.69 1.48
8.12 -0.68 1.48
8.12 -0.68 1.48
8.13 -0.67 1.49
8.13 -0.66 1.49
8.14 -0.66 1.49
8.14 -0.65 1.49
8.15 -0.64 1.49
8.15 -0.63 1.49
8.16 -0.63 1.49
8.16 -0.62 1.50
8.17 -0.61 1.50
8.17 -0.60 1.50
8.18 -0.60 1.50
8.18 -0.59 1.50
8.19 -0.58 1.50
8.19 -0.57 1.50
8.20 -0.57 1.50
8.20 -0.56 1.51
8.21 -0.55 1.51
8.21 -0.54 1.51
8.22 -0.54 1.51
8.22 -0.53 1.51
8.23 -0.52 1.51
8.23 -0.51 1.51
8.24 -0.50 1.51
8.24 -0.50 1.52
8.25 -0.49 1.52
8.25 -0.48 1.52
8.26 -0.47 1.52
8.26 -0.47 1.52
8.27 -0.46 1.52
8.27 -0.45 1.52
8.28 -0.44 1.53
8.28 -0.44 1.53
8.29 -0.43 1.53
8.29 -0.42 1.53
8.30 -0.41 1.53
8.30 -0.41 1.53
8.31 -0.40 1.53
8.31 -0.39 1.53
8.32 -0.38 1.54
8.32 -0.38 1.54
8.33 -0.37 1.54
8.33 -0.36 1.54
8.34 -0.35 1.54
8.34 -0.34 1.54
8.35 -0.34 1.54
8.35 -0.33 1.54
8.36 -0.32 1.54
8.36 -0.31 1.55
8.37 -0.31 1.55
8.37 -0.30 1.55
8.38 -0.29 1.55
8.38 -0.28 1.55
8.39 -0.27 1.55
8.39 -0.27 1.55
8.40 -0.26 1.55
8.40 -0.25 1.56
8.41 -0.24 1.56
8.41 -0.24 1.56
8.42 -0.23 1.56
8.42 -0.22 1.56
8.43 -0.21 1.56
8.43 -0.20 1.56
8.44 -0.20 1.56
8.44 -0.19 1.57
8.45 -0.18 1.57
8.45 -0.17 1.57
8.46 -0.17 1.57
8.46 -0.16 1.57
8.47 -0.15 1.57
8.47 -0.14 1.57
8.48 -0.13 1.57
8.48 -0.13 1.57
8.49 -0.12 1.58
8.49 -0.11 1.58
8.50 -0.10 1.58
8.50 -0.09 1.58
8.51 -0.09 1.58
8.51 -0.08 1.58
8.52 -0.07 1.58
8.52 -0.06 1.58
8.53 -0.05 1.58
8.53 -0.05 1.59
8.54 -0.04 1.59
8.54 -0.03 1.59
8.55 -0.02 1.59
8.55 -0.02 1.59
8.56 -0.01 1.59
8.56 0.00 1.59
8.57 0.01 1.59
8.57 0.02 1.59
8.58 0.02 1.60
8.58 0.03 1.60
8.59 0.04 1.60
8.59 0.05 1.60
8.60 0.06 1.60
8.60 0.06 1.60
8.61 0.07 1.60
8.61 0.08 1.60
8.62 0.09 1.60
8.62 0.10 1.61
8.63 0.10 1.61
8.63 0.11 1.61
8.64 0.12 1.61
8.64 0.13 1.61
8.65 0.14 1.61
8.65 0.14 1.61
8.66 0.15 1.61
8.66 0.16 1.61
8.67 0.17 1.61
8.67 0.18 1.62
8.68 0.19 1.62
8.68 0.19 1.62
8.69 0.20 1.62
8.69 0.21 1.62
8.70 0.22 1.62
8.70 0.23 1.62
8.71 0.23 1.62
8.71 0.24 1.62
8.72 0.25 1.62
8.72 0.26 1.63
8.73 0.27 1.63
8.73 0.27 1.63
8.74 0.28 1.63
8.74 0.29 1.63
8.75 0.30 1.63
8.75 0.31 1.63
8.76 0.32 1.63
8.76 0.32 1.63
8.77 0.33 1.63
8.77 0.34 1.64
8.78 0.35 1.64
8.78 0.36 1.64
8.79 0.36 1.64
8.79 0.37 1.64
8.80 0.38 1.64
8.80 0.39 1.64
8.81 0.40 1.64
8.81 0.41 1.64
8.82 0.41 1.64
8.82 0.42 1.65
8.83 0.43 1.65
8.83 0.44 1.65
8.84 0.45 1.65
8.84 0.45 1.65
8.85 0.46 1.65
8.85 0.47 1.65
8.86 0.48 1.65
8.86 0.49 1.65
8.87 0.50 1.65
8.87 0.50 1.66
8.88 0.51 1.66
8.88 0.52 1.66
8.89 0.53 1.66
8.89 0.54 1.66
8.90 0.55 1.66
8.90 0.55 1.66
8.91 0.56 1.66
8.91 0.57 1.66
8.92 0.58 1.66
8.92 0.59 1.66
8.93 0.60 1.67
8.93 0.60 1.67
8.94 0.61 1.67
8.94 0.62 1.67
8.95 0.63 1.67
8.95 0.64 1.67
8.96 0.65 1.67
8.96 0.65 1.67
8.97 0.66 1.67
8.97 0.67 1.67
8.98 0.68 1.67
8.98 0.69 1.68
8.99 0.70 1.68
8.99 0.70 1.68
9.00 0.71 1.68
9.00 0.72 1.68
9.01 0.73 1.67
9.01 0.74 1.67
9.02 0.75 1.66
9.02 0.75 1.66
9.03 0.76 1.65
9.03 0.77 1.65
9.04 0.78 1.65
9.04 0.79 1.64
9.05 0.80 1.64
9.05 0.80 1.63
9.06 0.81 1.63
9.06 0.82 1.63
9.07 0.83 1.62
9.07 0.84 1.62
9.08 0.84 1.61
9.08 0.85 1.61
9.09 0.86 1.61
9.09 0.87 1.60
9.10 0.88 1.60
9.10 0.88 1.60
9.11 0.89 1.59
9.11 0.90 1.59
9.12 0.91 1.58
9.12 0.92 1.58
9.13 0.92 1.58
9.13 0.93 1.57
9.14 0.94 1.57
9.14 0.95 1.56
9.15 0.96 1.56
9.15 0.96 1.56
9.16 0.97 1.55
9.16 0.98 1.55
9.17 0.99 1.55
9.17 0.99 1.54
9.18 1.00 -1.54
9.18 0.99 -1.54
9.19 0.99 -1.54
9.19 0.98 -1.54
9.20 0.97 -1.54
9.20 0.96 -1.55
9.21 0.96 -1.55
9.21 0.95 -1.55
9.22 0.94 -1.55
9.22 0.93 -1.55
9.23 0.92 -1.55
9.23 0.92 -1.55
9.24 0.91 -1.55
9.24 0.90 -1.56
9.25 0.89 -1.56
9.25 0.89 -1.56
9.26 0.88 -1.56
9.26 0.87 -1.56
9.27 0.86 -1.56
9.27 0.85 -1.56
9.28 0.85 -1.56
9.28 0.84 -1.57
9.29 0.83 -1.57
9.29 0.82 -1.57
9.30 0.82 -1.57
9.30 0.81 -1.57
9.31 0.80 -1.57
9.31 0.79 -1.57
9.32 0.78 -1.57
9.32 0.78 -1.57
9.33 0.77 -1.58
9.33 0.76 -1.58
9.34 0.75 -1.58
9.34 0.74 -1.58
9.35 0.74 -1.58
9.35 0.73 -1.58
9.36 0.72 -1.58
9.36 0.71 -1.58
9.37 0.70 -1.58
9.37 0.70 -1.59
9.38 0.69 -1.59
9.38 0.68 -1.59
9.39 0.67 -1.59
9.39 0.67 -1.59
9.40 0.66 -1.59
9.40 0.65 -1.59
9.41 0.64 -1.59
9.41 0.63 -1.59
9.42 0.63 -1.60
9.42 0.62 -1.60
9.43 0.61 -1.60
9.43 0.60 -1.60
9.44 0.59 -1.60
9.44 0.59 -1.60
9.45 0.58 -1.60
9.45 0.57 -1.60
9.46 0.56 -1.60
9.46 0.55 -1.61
9.47 0.55 -1.61
9.47 0.54 -1.61
9.48 0.53 -1.61
9.48 0.52 -1.61
9.49 0.51 -1.61
9.49 0.50 -1.61
9.50 0.50 -1.61
9.50 0.49 -1.61
9.51 0.48 -1.61
9.51 0.47 -1.62
9.52 0.46 -1.62
9.52 0.46 -1.62
9.53 0.45 -1.62
9.53 0.44 -1.62
9.54 0.43 -1.62
9.54 0.42 -1.62
9.55 0.42 -1.62
9.55 0.41 -1.62
9.56 0.40 -1.62
9.56 0.39 -1.63
9.57 0.38 -1.63
9.57 0.38 -1.63
9.58 0.37 -1.63
9.58 0.36 -1.63
9.59 0.35 -1.63
9.59 0.34 -1.63
9.60 0.33 -1.63
9.60 0.33 -1.63
9.61 0.32 -1.63
9.61 0.31 -1.64
9.62 0.30 -1.64
9.62 0.29 -1.64
9.63 0.29 -1.64
9.63 0.28 -1.64
9.64 0.27 -1.64
9.64 0.26 -1.64
9.65 0.25 -1.64
9.65 0.24 -1.64
9.66 0.24 -1.64
9.66 0.23 -1.65
9.67 0.22 -1.65
9.67 0.21 -1.65
9.68 0.20 -1.65
9.68 0.20 -1.65
9.69 0.19 -1.65
9.69 0.18 -1.65
9.70 0.17 -1.65
9.70 0.16 -1.65
9.71 0.15 -1.65
9.71 0.15 -1.66
9.72 0.14 -1.66
9.72 0.13 -1.66
9.73 0.12 -1.66
9.73 0.11 -1.66
9.74 0.10 -1.66
9.74 0.10 -1.66
9.75 0.09 -1.66
9.75 0.08 -1.66
9.76 0.07 -1.66
9.76 0.06 -1.66
9.77 0.05 -1.67
9.77 0.05 -1.67
9.78 0.04 -1.67
9.78 0.03 -1.67
9.79 0.02 -1.67
9.79 0.01 -1.67
9.80 0.00 -1.67
9.80 -0.00 -1.67
9.81 -0.01 -1.67
9.81 -0.02 -1.67
9.82 -0.03 -1.67
9.82 -0.04 -1.68
9.83 -0.05 -1.68
9.83 -0.05 -1.68
9.84 -0.06 -1.68
9.84 -0.07 -1.68
9.85 -0.08 -1.68
9.85 -0.09 -1.68
9.86 -0.10 -1.68
9.86 -0.10 -1.68
9.87 -0.11 -1.68
9.87 -0.12 -1.68
9.88 -0.13 -1.69
9.88 -0.14 -1.69
9.89 -0.15 -1.69
9.89 -0.16 -1.69
9.90 -0.16 -1.69
9.90 -0.17 -1.69
9.91 -0.18 -1.69
9.91 -0.19 -1.69
9.92 -0.20 -1.69
9.92 -0.21 -1.69
9.93 -0.21 -1.69
9.93 -0.22 -1.69
9.94 -0.23 -1.70
9.94 -0.24 -1.70
9.95 -0.25 -1.70
9.95 -0.26 -1.70
9.96 -0.27 -1.70
9.96 -0.27 -1.70
9.97 -0.28 -1.70
9.97 -0.29 -1.70
9.98 -0.30 -1.70
9.98 -0.31 -1.70
9.99 -0.32 -1.70
9.99 -0.33 -1.70
10.00 -0.33 -1.71
10.00 -0.34 -1.71
10.01 -0.35 -1.71
10.01 -0.36 -1.71
10.02 -0.37 -1.71
10.02 -0.38 -1.71
10.03 -0.38 -1.71
10.03 -0.39 -1.71
10.04 -0.40 -1.71
10.04 -0.41 -1.71
10.05 -0.42 -1.71
10.05 -0.43 -1.71
10.06 -0.44 -1.72
10.06 -0.44 -1.72
10.07 -0.45 -1.72
10.07 -0.46 -1.72
10.08 -0.47 -1.72
10.08 -0.48 -1.72
10.09 -0.49 -1.72
10.09 -0.50 -1.72
10.10 -0.51 -1.72
10.10 -0.51 -1.72
10.11 -0.52 -1.72
10.11 -0.53 -1.72
10.12 -0.54 -1.72
10.12 -0.55 -1.73
10.13 -0.56 -1.73
10.13 -0.57 -1.73
10.14 -0.57 -1.73
10.14 -0.58 -1.73
10.15 -0.59 -1.73
10.15 -0.60 -1.73
10.16 -0.61 -1.73
10.16 -0.62 -1.73
10.17 -0.63 -1.73
10.17 -0.63 -1.73
10.18 -0.64 -1.73
10.18 -0.65 -1.73
10.19 -0.66 -1.73
10.19 -0.67 -1.72
10.20 -0.68 -1.72
10.20 -0.69 -1.72
10.21 -0.70 -1.72
10.21 -0.70 -1.72
10.22 -0.71 -1.72
10.22 -0.72 -1.72
10.23 -0.73 -1.72
10.23 -0.74 -1.72
10.24 -0.75 -1.72
10.24 -0.76 -1.72
10.25 -0.76 -1.72
10.25 -0.77 -1.72
10.26 -0.78 -1.71
10.26 -0.79 -1.71
10.27 -0.80 -1.71
10.27 -0.81 -1.71
10.28 -0.82 -1.71
10.28 -0.82 -1.71
10.29 -0.83 -1.71
10.29 -0.84 -1.71
10.30 -0.85 -1.71
10.30 -0.86 -1.71
10.31 -0.87 -1.71
10.31 -0.87 -1.71
10.32 -0.88 -1.70
10.32 -0.89 -1.70
10.33 -0.90 -1.70
10.33 -0.91 -1.70
10.34 -0.92 -1.70
10.34 -0.93 -1.70
10.35 -0.93 -1.70
10.35 -0.94 -1.70
10.36 -0.95 -1.70
10.36 -0.96 -1.70
10.37 -0.97 -1.70
10.37 -0.98 -1.70
10.38 -0.99 -1.69
10.38 -0.99 -1.69
10.39 -1.00 1.69
10.39 -0.99 1.69
10.40 -0.99 1.69
10.40 -0.98 1.70
10.41 -0.97 1.70
10.41 -0.96 1.70
10.42 -0.95 1.70
10.42 -0.94 1.70
10.43 -0.93 1.70
10.43 -0.93 1.70
10.44 -0.92 1.70
10.44 -0.91 1.70
10.45 -0.90 1.70
10.45 -0.89 1.70
10.46 -0.88 1.70
10.46 -0.87 1.71
10.47 -0.87 1.71
10.47 -0.86 1.71
10.48 -0.85 1.71
10.48 -0.84 1.71
10.49 -0.83 1.71
10.49 -0.82 1.71
10.50 -0.82 1.71
10.50 -0.81 1.71
10.51 -0.80 1.71
10.51 -0.79 1.71
10.52 -0.78 1.71
10.52 -0.77 1.72
10.53 -0.76 1.72
10.53 -0.76 1.72
10.54 -0.75 1.72
10.54 -0.74 1.72
10.55 -0.73 1.72
10.55 -0.72 1.72
10.56 -0.71 1.72
10.56 -0.70 1.72
10.57 -0.69 1.72
10.57 -0.69 1.72
10.58 -0.68 1.72
10.58 -0.67 1.72
10.59 -0.66 1.73
10.59 -0.65 1.73
10.60 -0.64 1.73
10.60 -0.63 1.73
10.61 -0.63 1.73
10.61 -0.62 1.73
10.62 -0.61 1.73
10.62 -0.60 1.73
10.63 -0.59 1.73
10.63 -0.58 1.73
10.64 -0.57 1.73
10.64 -0.57 1.73
10.65 -0.56 1.73
10.65 -0.55 1.74
10.66 -0.54 1.74
10.66 -0.53 1.74
10.67 -0.52 1.74
10.67 -0.51 1.74
10.68 -0.50 1.74
10.68 -0.50 1.74
10.69 -0.49 1.74
10.69 -0.48 1.74
10.70 -0.47 1.74
10.70 -0.46 1.74
10.71 -0.45 1.74
10.71 -0.44 1.74
10.72 -0.43 1.74
10.72 -0.43 1.75
10.73 -0.42 1.75
10.73 -0.41 1.75
10.74 -0.40 1.75
10.74 -0.39 1.75
10.75 -0.38 1.75
10.75 -0.37 1.75
10.76 -0.36 1.75
10.76 -0.36 1.75
10.77 -0.35 1.75
10.77 -0.34 1.75
10.78 -0.33 1.75
10.78 -0.32 1.75
10.79 -0.31 1.75
10.79 -0.30 1.76
10.80 -0.29 1.76
10.80 -0.29 1.76
10.81 -0.28 1.76
10.81 -0.27 1.76
10.82 -0.26 1.76
10.82 -0.25 1.76
10.83 -0.24 1.76
10.83 -0.23 1.76
10.84 -0.22 1.76
10.84 -0.22 1.76
10.85 -0.21 1.76
10.85 -0.20 1.76
10.86 -0.19 1.76
10.86 -0.18 1.77
10.87 -0.17 1.77
10.87 -0.16 1.77
10.88 -0.15 1.77
10.88 -0.14 1.77
10.89 -0.14 1.77
10.89 -0.13 1.77
10.90 -0.12 1.77
10.90 -0.11 1.77
10.91 -0.10 1.77
10.91 -0.09 1.77
10.92 -0.08 1.77
10.92 -0.07 1.77
10.93 -0.07 1.77
10.93 -0.06 1.77
